범죄중분류,서울,부산,대구,인천,광주,대전,경기 수원,울산,경남 창원,경기 부천,경기 안산,경기 고양,경기 성남,충북 청주,제주 제주,충남 천안,경기 용인,경남 김해,경기 평택,전북 전주,경기 시흥,경북 구미,경북 포항,경기 안양,경기 화성,경기 남양주,경기 의정부,경기 파주,강원 원주,전남 목포,전남 여수,경남 거제,전남 순천,경남 진주,강원 춘천,경북 경주,경기 광주,전북 군산,경기 광명,경기 김포,경남 양산,전북 익산,충남 아산,충북 충주,제주 서귀포,경기 구리,경북 경산,강원 강릉,경기 오산,경기 군포,경기 양주,경기 포천,경기 이천,경기 안성,경남 통영,충남 당진,경북 안동,경기 하남,전남 광양,충남 서산,경남 사천,경북 김천,충남 보령,충북 제천,경기 여주,강원 속초,충남 논산,경기 의왕,강원 동해,세종,전북 정읍,경기 동두천,경북 영주,경북 영천,경남 밀양,충남 공주,경북 상주,전북 김제,강원 삼척,전북 남원,경북 문경,경기 과천,강원 태백,전남 나주,충남 계룡,경남 마산
교통범죄,74958,35841,39725,31163,23412,13556,14715,16600,12650,10467,11372,11926,8900,8972,10857,9104,7716,8691,7646,6444,7830,8505,7475,5909,5902,4795,3670,6218,6012,4699,5083,4832,4954,3351,5008,4839,3660,3497,2740,3726,3759,3202,2296,3902,3581,2151,2464,2737,2009,2121,2547,2677,2653,2490,2936,1943,1750,2583,2434,1767,2517,2121,1703,1839,1687,1436,1182,1722,1519,1056,1115,954,1644,1346,1216,1230,1160,997,1110,752,1005,720,594,276,138,2
절도,55280,20136,12759,10679,8438,9495,6487,5449,5860,5048,4154,3287,3941,4691,3309,3945,2791,2739,2160,3402,1791,2212,2496,2142,2178,1888,2304,1136,1785,1520,1049,1395,1188,2032,1132,1297,1072,1470,1234,1082,1205,1391,1487,925,921,1042,1174,832,1164,944,719,580,655,844,602,1325,679,575,461,769,358,506,681,524,417,344,634,307,288,638,565,410,245,298,313,423,322,344,188,276,227,170,130,46,53,2
사기,53879,20533,11507,13141,7669,7250,5749,5606,6170,5727,4197,3861,4229,3412,2734,3031,3312,2611,2638,2945,2453,2782,2100,2249,1968,1878,2117,1888,1450,1579,1213,1418,1190,1441,780,1143,1355,1371,1295,1075,1256,1264,1167,848,695,1229,992,909,946,942,881,792,846,722,592,738,793,489,671,819,601,575,910,538,589,411,632,354,359,487,493,469,325,437,431,412,281,280,284,364,232,168,169,275,67,51
폭행,36904,8852,6607,9774,5386,4054,4123,4213,2650,3129,3209,2268,3149,2589,1919,1394,1710,1463,1636,1567,1465,746,1134,1720,1327,1573,1901,1078,1048,1214,837,525,842,698,706,472,823,893,1188,731,613,824,770,361,570,893,477,535,826,826,747,566,668,551,319,201,368,378,333,270,252,300,126,247,313,268,102,250,252,139,263,422,167,144,136,84,115,229,187,166,185,118,99,20,6,0
특별경제범죄,22075,13868,3421,5751,2535,1635,1596,1289,1018,1449,1597,1278,1749,704,982,910,831,640,928,577,623,481,443,902,631,589,613,667,342,350,280,230,273,399,283,287,360,227,818,420,310,363,304,204,269,299,257,253,342,383,226,287,209,322,111,118,520,147,129,113,145,143,101,137,108,190,113,138,120,187,96,107,81,91,109,94,52,87,87,67,45,60,32,31,23,10
손괴,11735,3639,3019,3365,1791,1804,1497,1530,1199,1158,1385,806,1060,1120,1018,798,704,604,710,498,649,581,551,630,503,609,634,430,590,434,354,344,254,286,316,235,363,274,332,354,323,334,322,303,331,258,420,401,327,327,256,187,220,229,186,152,206,152,118,196,129,147,74,155,114,155,105,112,137,88,89,168,101,87,105,79,67,95,103,82,67,54,52,13,15,0
횡령,13314,2980,1725,2763,1416,1216,1231,794,708,1084,912,1218,1038,437,439,573,655,357,482,365,443,297,252,557,496,530,525,400,241,208,146,190,156,165,256,140,267,178,385,412,180,118,314,140,122,191,154,145,191,265,193,132,178,160,74,112,90,125,52,125,52,73,77,78,69,109,68,107,43,122,69,105,47,51,51,55,39,46,37,37,23,79,26,23,11,2
상해,7174,4675,2736,2179,1162,1516,938,1353,1187,524,694,490,734,798,532,522,454,595,460,496,295,508,616,396,410,392,326,261,514,415,347,490,354,408,379,347,237,283,147,160,307,246,341,265,269,181,248,352,149,142,157,229,161,141,321,215,257,104,194,179,194,200,137,172,130,174,155,57,202,117,108,102,134,118,134,137,127,65,155,101,100,22,82,5,24,1
폭력행위등,6725,2449,1595,1988,817,1045,1101,906,669,591,757,462,577,623,383,494,365,356,444,450,375,276,429,385,374,395,323,238,242,347,223,229,141,202,169,214,220,291,144,171,144,267,241,137,145,183,163,252,177,131,103,193,141,138,138,149,152,81,95,109,78,93,106,127,94,105,73,44,117,71,76,114,99,66,82,73,51,47,72,69,53,10,58,8,3,1
병역범죄,4591,959,800,1200,371,630,433,382,355,355,332,360,362,316,190,414,235,198,156,186,228,214,243,201,225,312,188,142,110,98,82,112,91,92,79,76,170,82,61,50,158,55,99,53,52,71,82,33,104,53,137,105,71,101,52,49,38,36,38,36,42,37,20,22,19,8,72,34,23,86,27,44,14,31,57,25,32,12,9,19,5,10,3,1,6,1
