범죄중분류,금요일,목요일,화요일,수요일,월요일,토요일,일요일
교통범죄,58103,54846,53605,54509,51459,57134,47698
사기,52039,51654,51876,51225,52740,24124,20814
절도,28156,26098,25671,26061,26239,29266,25466
폭행,22045,21080,20766,20981,19966,26494,25865
횡령,9317,8460,8128,8318,8559,8495,7231
손괴,8788,7989,7634,7766,7974,9378,8617
특별경제범죄,8502,8432,8608,8477,8724,4709,3948
상해,5270,5110,5063,5038,4908,5776,5693
협박,3040,2961,3039,3072,3013,3011,2886
강제추행,2542,2231,2306,2358,2272,2831,2580
성풍속범죄,1982,1900,1956,2066,1957,1670,1614
병역범죄,1834,2082,3580,1940,3068,97,111
보건범죄,2085,2043,2096,1962,2051,1399,934
문서인장,1978,2032,1971,1840,2130,772,620
폭력행위등,1063,1001,1100,1086,1126,1430,1544
마약범죄,1272,1195,1352,1219,1278,933,789
도박범죄,1291,1304,1174,1237,1106,981,915
강간,722,682,734,719,686,898,869
공갈,756,744,740,757,818,549,483
배임,905,735,730,787,859,302,248
환경범죄,696,653,696,652,749,263,168
방화,206,170,181,209,181,206,209
체포감금,196,169,170,171,189,168,180
통화,178,177,169,187,186,48,35
노동범죄,143,175,139,168,162,103,85
강도,121,124,116,105,113,108,111
유사강간,112,89,109,92,99,136,145
직권남용,136,107,118,97,126,46,44
선거범죄,95,113,91,100,90,57,65
직무유기,102,99,123,106,108,28,24
살인미수등,85,73,68,62,70,53,71
살인기수,49,37,48,40,45,40,38
증수뢰,45,42,42,52,46,20,13
안보범죄,24,25,13,22,25,24,36
유가증권인지,24,21,16,30,22,19,8
