범죄중분류,21:00 ~ 23:59,18:00 ~ 20:59,15:00 ~ 17:59,09:00 ~ 11:59,12:00 ~ 14:59,0:00 ~ 02:59,06:00 ~ 08:59,03:00 ~ 05:59
교통범죄,70537,58164,53506,44265,45675,24513,37189,23438
절도,20568,27229,28553,21501,27167,13088,13094,14167
폭행,34120,20704,14791,11591,12509,19226,9345,16377
사기,12387,13930,21648,39184,30405,5443,3056,3949
손괴,10822,9323,6289,5277,4983,5107,4014,4556
횡령,6367,6646,6584,6781,6586,2754,2780,2526
상해,7433,4585,3684,2967,3025,4166,2247,3408
특별경제범죄,4320,3768,4802,6702,5340,1688,1333,1426
협박,3437,3304,2687,2288,2251,1316,1339,1036
강제추행,2901,2189,1706,1163,1300,1855,1293,1921
성풍속범죄,1931,1675,1724,1126,1225,736,773,597
폭력행위등,1427,936,704,450,508,1234,460,1263
보건범죄,1747,893,1009,880,694,596,140,404
마약범죄,674,776,890,635,773,244,151,214
강간,719,425,311,293,325,630,417,885
도박범죄,819,868,853,456,488,184,114,112
문서인장,290,275,464,1688,747,174,63,134
공갈,507,599,590,388,455,135,74,122
병역범죄,19,58,55,1440,285,3,20,1
배임,8,39,68,1123,277,3,21,4
환경범죄,126,90,190,458,290,42,117,53
방화,228,189,173,124,109,144,105,151
체포감금,185,135,146,122,147,96,76,106
강도,107,81,72,59,68,105,44,131
노동범죄,78,53,117,124,125,20,80,41
유사강간,89,66,55,62,60,102,57,110
통화,22,41,95,183,115,9,27,9
살인미수등,82,66,60,44,46,33,29,50
직권남용,15,26,40,135,48,8,12,11
선거범죄,3,38,34,121,53,0,22,1
살인기수,49,43,33,28,38,15,20,21
직무유기,5,9,21,123,33,2,8,3
유가증권인지,2,7,15,27,9,0,2,1
증수뢰,4,8,6,25,11,0,2,0
안보범죄,6,3,10,10,18,2,0,0
